Daycare Centre Name,Address,Ward,Contact Name,Contact Phone
A & A Child Care Centre,"3380 Midland Ave ,22   (Midland / Finch E.)     ", Scarborough-Agincourt,Angela McAloney, 416-298-4489
Abacus Montessori Learning Centre,2723 St Clair Ave E     , Beaches-East York,Jayanthi Rajagopalan, 416-285-0110
ABC Academy - 18 Melrose Avenue,18 Melrose Ave   (Yonge / Lawrence E.)     , Eglinton-Lawrence,Jennifer Halliwell, 416-485-5437
ABC Academy 2 - 20 Melrose Avenue,20 Melrose Ave   (Yonge / Lawrence E.)     , Eglinton-Lawrence,Jennifer Halliwell, 416-485-5437
ABC Academy Bayview - 1432 Bayview Avenue,1432 Bayview Ave   (Bayview Ave/Davisville Ave)     , Don Valley West,Helen Brydges, 647-349-2229
ABC Academy - Beaches,1923 Queen St E     , Beaches-East York,Dorie Heffron, 416-484-0222
ABC Academy-McRae,235 McRae Dr   (Laird/Eglinton)     , Don Valley West,Frances Mendez Barcelo, 647-340-3688
Aboriginal Head Start - Epnigishmok,"20 Bansley Ave ,Rm 119/120     ", Toronto-St. Paul's,Veronika Bencze, 416-969-8510 ext 3059
Absorbent Minds (Op1756925 Ontario Inc.),16 Old Kingston Rd   (Old Kingston Rd. / Morningside)     , Scarborough-Rouge Park,Huma Esmail, 416-284-6286
Absorbent Minds 2,20 Old Kingston Rd   (Old Kingston Rd. / Morningside)     , Scarborough-Rouge Park,Aisha Bhatti, 647-515-6286
Absorbent Years Childcare (Montessori),2737 Bayview Ave   (Bayview Ave /Macdonald-Cartier)     , Don Valley West,Imanthi De Bellefeuille, 416-502-1769
Absorbent Years Childcare Inc,128 Fairview Mall Dr   (Sheppard Ave E & Don Mills Rd)     , Don Valley North,Imanthi De Bellefeuille, 416-502-1769
After Four Children's Enrichment Program,10 Japonica Rd   (Ellesmere / Pharmacy)     , Scarborough Centre,Sabrina Pallotta, 416-446-7398
Agape Christian Montessori School (2236800 Ontario Inc.),301 Silver Star Blvd   (Midland Ave / McNicoll Ave)     , Scarborough-Agincourt,Corie Tse, 647-717-1800
Agile Innovators Montessori,390 Bamburgh Cir     , Scarborough-Agincourt,Shena Xie, 647-812-0520
Agincourt Montessori School Inc.,2575 Midland Ave   (Midland / Sheppard E.)     , Scarborough North,Nadia Arida, 416-291-0726
Agincourt Temple Day Care(Governing Council Of The Salvation Army),3080 Birchmount Rd   (Birchmount / Finch E.)     , Scarborough-Agincourt,Margaret Wong, 416-497-0329 ext 230
Air-O-Down Child Care Centre,7 Hawksdale Rd   (Wilson / Keele)     , York Centre,Toni Tolomeo-Locantore, 416-633-2014
Albion Early Learning  & Child Care Centre,1545 Albion Rd   (Albion / Kipling)     , Etobicoke North,Diane French, 416-392-5083
Albion Heights School Age YMCA,45 Lynmont Rd   (Finch W. / Martingrove)     , Etobicoke North,Melissa Unus, 416-744-4265
Alderwood Action After School,544 Horner Ave   (Horner / Browns Line)     , Etobicoke-Lakeshore,Reena Somani, 416-259-7738
Alexander Muir Gladstone Jr YMCA,108 Gladstone Ave   (Queen W. / Dufferin)     , Davenport,Sandra Santos, 416-534-8454
Alexandra Park Early Learning & Child Care Centre,75 Augusta Sq   (Dundas / Spadina)     , Spadina-Fort York,Zorica Macos, 416-392-5515
Alive Montessori & Private School,2 Wembley Rd   (Eglinton Ave W / Bathurst)     , Eglinton-Lawrence,Anna Cosslovskaya, 647-990-7323
All About Kids Inc. (1055 Gerrard Street East),1055 Gerrard St E   (Gerrard/Jones)     , Toronto-Danforth,Joanna Kontonikolas, 416-463-5437
All About Kids Sheppard,"2005 Sheppard Ave E ,Suite 115   (Sheppard E. / Victoria Park)     ", Don Valley North,Renee Brauch, 416-427-0211
